,,Senate,House,Total
,,138,134,
ti!::\: ::·::::::::::::::::::::::::::::::::,,"1,250 hrs., 14'","939 hrs., 17'",
Congressional Record:,,,,
Pages of proceedings ................,,"18,352","13,445","31,797"
Extensions of Remarks ............ .,,,"3,726","3,726"
Public bills enacted into law ........... .,,179,231,410
Private bills enacted into law .......... .,,8,6,14
Bills in conference .......................... .,,50,11,
Bills through conference ................. .,,16,33,
"Measures passed, total ..................... .",,716,772,"1,488"
Senate bills ............................. .,,212,131,
House bills ............................. .,,218,313,
Senate joint resolutions ........... .,,98,76,
House joint resolutions ........... .,,47,57,
Senate .concurrent resolutions ...,,29,10,
House concurrent resolutions .. .,,26,46,
Simple resolutions .................. .,,86,140,
"Measures reported, total .................. .",,*509,*501,
Senate bills ............................. .,,314,37,
House bills ............................. .,,82,335,
Senate joint resolutions ........... .,,71,1,
House joint resolutions ........... .,,4,7,
Senate concurrent resolutions ...,,18,0,
House concurrent resolutions .. .,,2,6,
Simple resolutions .................. .,,18,115,
Special reports ................................ .,,9,75,
Conference reports .......................... .,,,56,
Measures pending on calendar ........ .,,218,68,
"Measures introduced, total .............. .",,"1,636","2,769","4,405"
Bills ........................................ .,,"1,281","2,131",
Joint resolutions ..................... .,,154,233,
Concurrent resolutions ............ .,,72,160,
Simple resolutions .................. .,,129,245,
Quorum calls .................................. .,,3,26,
Yea-and-nay votes ........................... .,,326,271,
Recorded votes ................................ .,,,239,
Bills vetoed ..................................... .,,3,8,11
Vetoes overridden ........................... .,,0,4,
